             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           6957798      cron /global/      sdm  R   21:12:20      1 login09
           6957799      cron /global/      sdm  R   21:12:20      1 login15
          16427162      cron htcondor   tylern  R 2-20:48:40      1 login08
          15158268      cron jaws_per     jaws  R 2-20:48:44      1 login01
          15092108      cron /global/ sakaguri RH       0:00      1 (launch failure limit exceeded requeued held)
          16511660  gpu_ss11      opt beri9208 CG      29:59      1 nid003692
          12326587  gpu_ss11      job   sbower PD       0:00      2 (ReqNodeNotAvail, UnavailableNodes:nid[003188-003189])
          16404048  gpu_ss11 ice_shea   aneogi PD       0:00    256 (Resources)
          16536146  gpu_ss11 interact junyi012 PD       0:00      1 (Priority)
          16428148  gpu_ss11 performa  pinilla PD       0:00   1536 (Priority)
          16440539  gpu_ss11 deepcam- sfarrell PD       0:00   1536 (ReqNodeNotAvail, UnavailableNodes:nid[001072,001081,001172,001180-001181,001233,001340-001341,001344-001345,001349,001352-001353,001357,001360-001361,001364-001365,001368-001369,001373,001376,001381,001384-001385,001393,001397,001400,001404,001408,001412,001417,001421,001424-001425,001428,001432,001436-001437,001440,001444-001445,001448-001449,001452,001456-001457,001461,001464,001468-001469,001477,001481,001484-001485,001488-001489,001492-001493,001496,001500,001505,001508-001509,001512-001513,001517,001520-001521,001524,001528,001532-001533,001536-001537,001540-001541,001545,001548,001596-001597,001620,001637,001640-001641,001644-001645,001652-001653,001656,001661,001665,001668,001672-001673,001677,001680,001692,001696-001697,001708-001709,001713,001717,001724,001729,001732-001733,001736,001744,001749,001756-001757,001784,001824,001869,001872,002089,002169,002172-002173,002400-002401,002508-002509,002580-002581,002596-002597,002652,002692-002693,002696,002700-002701,002709,002729,002732,002740,002744,002748,002913,002964,003073,003136-003137,003145,003152-003153,003184,003188-003189,003248,003273,003349,003365,003388-003389,003397,003401,003521,003532-003533,003544,003680,003685,003696,003872-003873,004016-004017,004040-004041,004049,008393,008460,008473,008488-008489,008493,008541,008556-008557,008585,008660-008661,008664-008665,008700])
          16304371  gpu_ss11       96  genwang PD       0:00    256 (Priority)
          16333704  gpu_ss11       96  genwang PD       0:00    128 (Priority)
          16412868  gpu_ss11    ee26c jonowens PD       0:00     16 (Priority)
          16412878  gpu_ss11      olz jonowens PD       0:00     16 (Priority)
          16446660  gpu_ss11 ph-1000-   asmith PD       0:00     16 (Priority)
          16460491  gpu_ss11  mono-67  gkafle1 PD       0:00      8 (Priority)
          16462981  gpu_ss11 ls2-lapd     mana PD       0:00      4 (Priority)
          16463002  gpu_ss11 ls14-lap     mana PD       0:00      4 (Priority)
          16462975  gpu_ss11   cs320t jinyuche PD       0:00      8 (Priority)
          16278837  gpu_ss11    VNb_1 samolyuk PD       0:00     64 (Priority)
          16401037  gpu_ss11    VNb_1 samolyuk PD       0:00     64 (Priority)
          16464432  gpu_ss11    run-2 wfullmer PD       0:00      3 (Priority)
          16464954  gpu_ss11 D3D_turb rchurchi PD       0:00    256 (Priority)
          16467248  gpu_ss11 submit_p   zrqiao PD       0:00      4 (Priority)
          16286388  gpu_ss11 pd192-0h   bajack PD       0:00      2 (Priority)
          16351772  gpu_ss11 pd192-6h   bajack PD       0:00      2 (Priority)
          16469486  gpu_ss11 stiffnes  gnzhang PD       0:00      2 (Priority)
          16469489  gpu_ss11 stiffnes  gnzhang PD       0:00      2 (Priority)
          16469993  gpu_ss11 submit.s   zkyuan PD       0:00     16 (Priority)
          16470572  gpu_ss11    cs640 jinyuche PD       0:00     16 (Priority)
          16471978  gpu_ss11 run_cls_ fromerol PD       0:00     24 (Priority)
          16472783  gpu_ss11 LPS_beta      bwh PD       0:00      3 (Priority)
          16536120  gpu_ss11   my_job    rlehe PD       0:00      2 (Priority)
          16536358  gpu_ss11 interact chenjd21 PD       0:00      1 (Priority)
          16473510  gpu_ss11 submit.s   zkyuan PD       0:00      4 (Priority)
          16475107  gpu_ss11 ch_toroi  ghalevi PD       0:00      8 (Priority)
          16475130  gpu_ss11 fm_toroi  ghalevi PD       0:00      8 (Priority)
          15900183  gpu_ss11 submit19  skamelm PD       0:00     20 (Priority)
          16480143  gpu_ss11 PMNT100d   kehanc PD       0:00      1 (Priority)
          16458720  gpu_ss11 sub-cp2k  santanu PD       0:00      1 (Priority)
          16329608  gpu_ss11 my_gpu_j  mjohns9 PD       0:00      1 (Priority)
          16484152  gpu_ss11 ritonavi      bwh PD       0:00      2 (Priority)
          16484179  gpu_ss11     GS02 kwangmin PD       0:00    128 (Priority)
          16484185  gpu_ss11     GS01 kwangmin PD       0:00    128 (Priority)
          16484252  gpu_ss11 script-v    xijun PD       0:00      4 (Priority)
          16484328  gpu_ss11 job.nano   weiwei PD       0:00     10 (Priority)
          16484385  gpu_ss11 script-v    xijun PD       0:00      4 (Priority)
          16485203  gpu_ss11 bl_VZ8qV    uscms PD       0:00      1 (Priority)
          16485530  gpu_ss11     dist  nikhilm PD       0:00      2 (Priority)
          16468385  gpu_ss11 PtPhenol  asoyemi PD       0:00      1 (Priority)
          16485737  gpu_ss11     dist  nikhilm PD       0:00      2 (Priority)
          16486592  gpu_ss11 era5_sfn  amahesh PD       0:00     16 (Priority)
          16329609  gpu_ss11 my_gpu_j  mjohns9 PD       0:00      1 (Priority)
          16380055  gpu_ss11 waterh2_ jtfuller PD       0:00      1 (Priority)
          16468406  gpu_ss11  PtWater  asoyemi PD       0:00      1 (Priority)
          16469148  gpu_ss11    myjob adillali PD       0:00      1 (Priority)
          16487251  gpu_ss11 abacus-s lgarriso PD       0:00     32 (Priority)
          16453595  gpu_ss11    myjob  twolter PD       0:00      1 (Priority)
          16453594  gpu_ss11    myjob  twolter PD       0:00      1 (Priority)
          16418095  gpu_ss11 T3_H_027 olajideb PD       0:00      1 (Priority)
          16418094  gpu_ss11 T3_H_026 olajideb PD       0:00      1 (Priority)
          16487268  gpu_ss11 abacus-s lgarriso PD       0:00     32 (Priority)
          16487510  gpu_ss11 khb-trai kbhimani PD       0:00      1 (Priority)
          16399659  gpu_ss11 waterh2_ jtfuller PD       0:00      1 (Priority)
          16451933  gpu_ss11 cu25-co-    rkang PD       0:00      1 (Priority)
          16458948  gpu_ss11      run    cowen PD       0:00      1 (Priority)
          16458950  gpu_ss11      run    cowen PD       0:00      1 (Priority)
          16464705  gpu_ss11 submit_p   mengru PD       0:00      2 (Priority)
          16451934  gpu_ss11 cu25-co-    rkang PD       0:00      1 (Priority)
          16458721  gpu_ss11 sub-cp2k  santanu PD       0:00      1 (Priority)
          16487925  gpu_ss11  mos2.sh     zhao PD       0:00      1 (Priority)
          16465670  gpu_ss11 submit_p   mengru PD       0:00      7 (Priority)
          16488245  gpu_ss11 hybrid_w aveksler PD       0:00      1 (Priority)
          16488504  gpu_ss11 ECP_wan_   embeen PD       0:00     16 (Priority)
          16488741  gpu_ss11 aimd_pro  jiyoonk PD       0:00      1 (Priority)
          16488737  gpu_ss11 aimd_pro  jiyoonk PD       0:00      1 (Priority)
          16488785  gpu_ss11 spectra_  jderose PD       0:00      1 (Priority)
